z,a
-432.4129028,257800
-431.4129028,458025
-430.4129028,679125
-429.4129028,874250
-428.4129028,1103600
-427.4129028,1300225
-426.4129028,1469950
-425.4129028,1639400
-424.4129028,1866650
-423.4129028,2035100
-422.4129028,2166275
-421.4129028,2278125
-420.4129028,2370575
-419.4129028,2449600
-418.4129028,2520950
-417.4129028,2581175
-416.4129028,2641875
-415.4129028,2698975
-414.4129028,2760600
-413.4129028,2815550
-412.4129028,2871325
-411.4129028,2928200
-410.4129028,2997175
-409.4129028,3090675
-408.4129028,3217375
-407.4129028,3421100
-406.4129028,3621050
-405.4129028,3771250
-404.4129028,3875275
-403.4129028,3956425
-402.4129028,4044925
-401.4129028,4118500
-400.4129028,4191200
-399.4129028,4259375
-398.4129028,4329750
-397.4129028,4396525
-396.4129028,4469625
-395.4129028,4533250
-394.4129028,4605450
-393.4129028,4686075
-392.4129028,4796275
-391.4129028,4884675
-390.4129028,4984100
-389.4129028,5081100
-388.4129028,5185000
-387.4129028,5290500
-386.4129028,5386575
-385.4129028,5473100
-384.4129028,5547450
-383.4129028,5611125
-382.4129028,5668375
-381.4129028,5734475
-380.4129028,5801050
-379.4129028,5859125
-378.4129028,5912050
-377.4129028,5963275
-376.4129028,6016575
-375.4129028,6076475
-374.4129028,6137225
-373.4129028,6204425
-372.4129028,6271925
-371.4129028,6348025
-370.4129028,6415700
-369.4129028,6481375
-368.4129028,6552100
-367.4129028,6620800
-366.4129028,6688400
-365.4129028,6757900
-364.4129028,6834425
-363.4129028,6909525
-362.4129028,6978125
-361.4129028,7049475
-360.4129028,7116125
-359.4129028,7179800
-358.4129028,7318175
-357.4129028,7566250
-356.4129028,7686300
-355.4129028,7768175
-354.4129028,7854125
-353.4129028,7986050
-352.4129028,8094550
-351.4129028,8195350
-350.4129028,8335100
-349.4129028,8461675
-348.4129028,8590275
-347.4129028,8772950
-346.4129028,9002100
-345.4129028,9162350
-344.4129028,9343800
-343.4129028,9515875
-342.4129028,9667150
-341.4129028,9798800
-340.4129028,9933450
-339.4129028,10054625
-338.4129028,10167150
-337.4129028,10293550
-336.4129028,10405775
-335.4129028,10498825
-334.4129028,10585700
-333.4129028,10667150
-332.4129028,10749900
-331.4129028,10829500
-330.4129028,10905650
-329.4129028,10981100
-328.4129028,11059050
-327.4129028,11138125
-326.4129028,11212675
-325.4129028,11288925
-324.4129028,11367100
-323.4129028,11440950
-322.4129028,11516500
-321.4129028,11585675
-320.4129028,11654975
-319.4129028,11725075
-318.4129028,11789825
-317.4129028,11855050
-316.4129028,11917450
-315.4129028,11981150
-314.4129028,12046200
-313.4129028,12118925
-312.4129028,12193650
-311.4129028,12264600
-310.4129028,12334875
-309.4129028,12406175
-308.4129028,12477650
-307.4129028,12542300
-306.4129028,12607300
-305.4129028,12671825
-304.4129028,12736075
-303.4129028,12797200
-302.4129028,12858900
-301.4129028,12920150
-300.4129028,12981300
-299.4129028,13041425
-298.4129028,13100600
-297.4129028,13161225
-296.4129028,13219625
-295.4129028,13280575
-294.4129028,13340900
-293.4129028,13401125
-292.4129028,13458625
-291.4129028,13518475
-290.4129028,13576425
-289.4129028,13635850
-288.4129028,13694450
-287.4129028,13751900
-286.4129028,13808825
-285.4129028,13867475
-284.4129028,13925425
-283.4129028,13983000
-282.4129028,14041625
-281.4129028,14101000
-280.4129028,14159250
-279.4129028,14219550
-278.4129028,14282300
-277.4129028,14350675
-276.4129028,14508850
-275.4129028,14609950
-274.4129028,14693775
-273.4129028,14775025
-272.4129028,14852375
-271.4129028,14926775
-270.4129028,14998725
-269.4129028,15069750
-268.4129028,15138600
-267.4129028,15209025
-266.4129028,15279875
-265.4129028,15351875
-264.4129028,15427600
-263.4129028,15508725
-262.4129028,15598800
-261.4129028,15677050
-260.4129028,15752625
-259.4129028,15863050
-258.4129028,15953100
-257.4129028,16036150
-256.4129028,16117875
-255.4129028,16200525
-254.4129028,16286725
-253.4129028,16375600
-252.4129028,16474825
-251.4129028,16589425
-250.4129028,16703775
-249.4129028,16814125
-248.4129028,16902600
-247.4129028,16987125
-246.4129028,17071125
-245.4129028,17152025
-244.4129028,17231100
-243.4129028,17305875
-242.4129028,17384275
-241.4129028,17458825
-240.4129028,17534475
-239.4129028,17610150
-238.4129028,17684800
-237.4129028,17758600
-236.4129028,17832475
-235.4129028,17906300
-234.4129028,17980775
-233.4129028,18051800
-232.4129028,18125725
-231.4129028,18199550
-230.4129028,18273200
-229.4129028,18346425
-228.4129028,18420275
-227.4129028,18495875
-226.4129028,18573300
-225.4129028,18650450
-224.4129028,18729275
-223.4129028,18807575
-222.4129028,18885025
-221.4129028,18961075
-220.4129028,19036850
-219.4129028,19110825
-218.4129028,19185675
-217.4129028,19265925
-216.4129028,19358775
-215.4129028,19448975
-214.4129028,19537625
-213.4129028,19627850
-212.4129028,19717375
-211.4129028,19803825
-210.4129028,19891150
-209.4129028,19979250
-208.4129028,20070275
-207.4129028,20160225
-206.4129028,20260450
-205.4129028,20371000
-204.4129028,20497475
-203.4129028,20605925
-202.4129028,20704325
-201.4129028,20807175
-200.4129028,20904675
-199.4129028,21000725
-198.4129028,21093900
-197.4129028,21186700
-196.4129028,21291125
-195.4129028,21389775
-194.4129028,21487250
-193.4129028,21583775
-192.4129028,21681825
-191.4129028,21783800
-190.4129028,21884200
-189.4129028,21990075
-188.4129028,22117775
-187.4129028,22238925
-186.4129028,22359325
-185.4129028,22486525
-184.4129028,22621450
-183.4129028,22745275
-182.4129028,22869800
-181.4129028,22989775
-180.4129028,23111200
-179.4129028,23235325
-178.4129028,23376600
-177.4129028,23521200
-176.4129028,23647100
-175.4129028,23768975
-174.4129028,23889250
-173.4129028,24005100
-172.4129028,24141050
-171.4129028,24267225
-170.4129028,24389225
-169.4129028,24508500
-168.4129028,24628550
-167.4129028,24749475
-166.4129028,24874975
-165.4129028,24990125
-164.4129028,25106075
-163.4129028,25265700
-162.4129028,25409775
-161.4129028,25556725
-160.4129028,25692000
-159.4129028,25818125
-158.4129028,25942925
-157.4129028,26069350
-156.4129028,26193050
-155.4129028,26317675
-154.4129028,26444000
-153.4129028,26571125
-152.4129028,26694350
-151.4129028,26818325
-150.4129028,26945575
-149.4129028,27080250
-148.4129028,27262175
-147.4129028,27472725
-146.4129028,27645425
-145.4129028,27812425
-144.4129028,27985625
-143.4129028,28180525
-142.4129028,28399125
-141.4129028,28617275
-140.4129028,28841300
-139.4129028,29047425
-138.4129028,29243650
-137.4129028,29457575
-136.4129028,29680825
-135.4129028,29923350
-134.4129028,30209450
-133.4129028,30447250
-132.4129028,30667425
-131.4129028,30877175
-130.4129028,31085825
-129.4129028,31288525
-128.4129028,31496350
-127.4129028,31696950
-126.4129028,31891800
-125.4129028,32088100
-124.4129028,32280750
-123.4129028,32462100
-122.4129028,32642325
-121.4129028,32819450
-120.4129028,32994800
-119.4129028,33173075
-118.4129028,33351225
-117.4129028,33527075
-116.4129028,33710350
-115.4129028,33893400
-114.4129028,34071875
-113.4129028,34248100
-112.4129028,34426525
-111.4129028,34611350
-110.4129028,34789600
-109.4129028,34974050
-108.4129028,35150800
-107.4129028,35337825
-106.4129028,35551575
-105.4129028,35768175
-104.4129028,35965475
-103.4129028,36179900
-102.4129028,36396900
-101.4129028,36598350
-100.4129028,36802025
-99.41290283,36998725
-98.41290283,37196725
-97.41290283,37397950
-96.41290283,37607075
-95.41290283,37821475
-94.41290283,38039775
-93.41290283,38286575
-92.41290283,38511700
-91.41290283,38712450
-90.41290283,38913850
-89.41290283,39114275
-88.41290283,39313450
-87.41290283,39511600
-86.41290283,39711175
-85.41290283,39917050
-84.41290283,40121250
-83.41290283,40335650
-82.41290283,40584225
-81.41290283,40849425
-80.41290283,41102900
-79.41290283,41343975
-78.41290283,41573675
-77.41290283,41800100
-76.41290283,42020100
-75.41290283,42244800
-74.41290283,42482300
-73.41290283,42720075
-72.41290283,42961700
-71.41290283,43203175
-70.41290283,43451200
-69.41290283,43700100
-68.41290283,43943850
-67.41290283,44191925
-66.41290283,44448875
-65.41290283,44711550
-64.41290283,44981825
-63.41290283,45241525
-62.41290283,45502225
-61.41290283,45764425
-60.41290283,46034400
-59.41290283,46314525
-58.41290283,46630225
-57.41290283,47066700
-56.41290283,47453075
-55.41290283,47862875
-54.41290283,48315225
-53.41290283,48711525
-52.41290283,49091775
-51.41290283,49453500
-50.41290283,49791575
-49.41290283,50088775
-48.41290283,50403375
-47.41290283,50695675
-46.41290283,50970350
-45.41290283,51266575
-44.41290283,51563575
-43.41290283,51838500
-42.41290283,52107950
-41.41290283,52381950
-40.41290283,52651250
-39.41290283,52906300
-38.41290283,53160450
-37.41290283,53410900
-36.41290283,53647800
-35.41290283,53876825
-34.41290283,54106950
-33.41290283,54330675
-32.41290283,54553525
-31.41290283,54771350
-30.41290283,54990200
-29.41290283,55205950
-28.41290283,55419525
-27.41290283,55626575
-26.41290283,55831675
-25.41290283,56038425
-24.41290283,56244050
-23.41290283,56447650
-22.41290283,56646300
-21.41290283,56847225
-20.41290283,57046700
-19.41290283,57253800
-18.41290283,57471150
-17.41290283,57682200
-16.41290283,57896625
-15.41290283,58116350
-14.41290283,58334700
-13.41290283,58540225
-12.41290283,58749775
-11.41290283,58973350
-10.41290283,59193425
-9.412902832,59410075
